Country Name,Indicator Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Georgia,Net official development assistance and official aid received (current US$),104779998.8,177320007.3,209059997.6,309369995.1,242029998.8,208669998.2,246839996.3,171949996.9,294130004.9,317209991.5,228669998.2,314209991.5,293339996.3,357190002.4,381929992.7,818109985.4,794070007.3,588859985.4,545059997.6,659190002.4,646309997.6,563760009.8,448929992.7,462739990.2,447440002.4,589859985.4,496730011
Ghana,Net official development assistance and official aid received (current US$),627260009.8,547719970.7,649869995.1,651270019.5,494170013.4,703880004.9,610090026.9,600650024.4,644849975.6,689369995.1,985039978,1419010010,1152640015,1236250000,1162920044,1312170044,1584680054,1697219971,1803869995,1799290039,1328170044,1123130005,1770479980,1318650024,1263550049,1067540039,936320007.3
Gibraltar,Net official development assistance and official aid received (current US$),-9999.999776,569999.9928,209999.9934,-239999.9946,370000.0048,219999.9988,29999.99933,39999.99911,730000.0191,9999.999776,29999.99933,189999.9976,,,,,,,,,,,,,,,
Guinea,Net official development assistance and official aid received (current US$),410279998.8,358230011,415920013.4,298059997.6,381390014.6,359570007.3,237830001.8,153410003.7,289250000,254190002.4,250630004.9,274809997.6,192910003.7,173119995.1,257609985.4,351220001.2,217660003.7,220970001.2,202119995.1,633359985.4,467540008.5,563119995.1,538929992.7,567059997.6,472269989,594440002.4,580679992.7
"Gambia, The",Net official development assistance and official aid received (current US$),84900001.53,68889999.39,45430000.31,36060001.37,38900001.53,39450000.76,34349998.47,49639999.39,52729999.54,64470001.22,63290000.92,61340000.15,60759998.32,75199996.95,97199996.95,94629997.25,125169998.2,121099998.5,135710006.7,138979995.7,112300003.1,100339996.3,113940002.4,91989997.86,284489990.2,234130004.9,194039993.3
Guinea-Bissau,Net official development assistance and official aid received (current US$),94529998.78,174360000.6,117599998.5,180770004.3,124529998.8,96010002.14,52599998.47,81069999.69,60689998.63,59880001.07,145369995.1,77849998.47,66760002.14,88199996.95,125569999.7,135690002.4,149399993.9,129000000,120639999.4,80319999.69,105629997.3,110250000,95040000.92,196820007.3,113360000.6,153580001.8,120510002.1
Equatorial Guinea,Net official development assistance and official aid received (current US$),52659999.85,29729999.54,33400001.53,30819999.69,23889999.39,22159999.85,20239999.77,21270000.46,13239999.77,20149999.62,20930000.31,29149999.62,38130001.07,26209999.08,31360000.61,32080001.83,31780000.69,85069999.69,24549999.24,14449999.81,4630000.114,519999.9809,7489999.771,6920000.076,6929999.828,6719999.79,64069999.69
Greece,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,Net official development assistance and official aid received (current US$),7869999.886,23610000.61,10819999.69,11850000.38,8880000.114,6260000.229,10399999.62,16870000.84,11289999.96,10220000.27,10779999.73,15600000.38,52599998.47,26809999.47,26090000.15,31799999.24,45830001.83,33849998.47,12029999.73,7659999.847,12529999.73,39709999.08,24100000.38,8579999.924,5840000.153,31739999.77,14680000.31
Greenland,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,Net official development assistance and official aid received (current US$),218850006.1,196029998.8,205350006.1,182839996.3,256299987.8,230289993.3,280899993.9,260700012.2,227160003.7,253240005.5,259309997.6,233509994.5,269480011,500670013.4,465029998.8,539500000,380559997.6,402059997.6,353570007.3,304890014.6,496600006.1,279839996.3,411290008.5,265450012.2,367010009.8,399399993.9,393850006.1
Guam,Net official development assistance and official aid received (current US$),,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,Net official development assistance and official aid received (current US$),87970001.22,68099998.47,68089996.34,88800003.05,235529998.8,75379997.25,55619998.93,63630001.07,63919998.17,47259998.32,59279998.78,101339996.3,101360000.6,129509994.5,78080001.83,120389999.4,111230003.4,106410003.7,105620002.7,114919998.2,101239997.9,160610000.6,32139999.39,70019996.64,51130001.07,104180000.3,113269996.6
High income,Net official development assistance and official aid received (current US$),4617960089,5586570078,6581169880,5983120030,4308319986,5546499963,4884260056,4848380028,4165369964,4080360000,4700419959,5988440083,482480003.5,544429993.8,447749996.7,748110001.1,770020006.2,753480003.4,592010000.2,483129992.2,395260001.1,249030007.1,219630000.8,308100002.9,242739997.9,247939998.6,200350002.3
"Hong Kong SAR, China",Net official development assistance and official aid received (current US$),30270000.46,26870000.84,17729999.54,13199999.81,8439999.58,6820000.172,3750000,4329999.924,3569999.933,3960000.038,5019999.981,6949999.809,,,,,,,,,,,,,,,
Honduras,Net official development assistance and official aid received (current US$),288309997.6,255990005.5,374670013.4,238729995.7,275519989,283500000,757260009.8,399850006.1,562250000,382089996.3,317260009.8,539570007.3,649359985.4,518229980.5,407540008.5,462130004.9,418390014.6,470500000,359250000,566190002.4,625869995.1,606280029.3,540599975.6,412399993.9,442230011,664900024.4,457570007.3
